iter	Passed	Remaining
0	155	155374
1	170	85008
2	183	60937
3	188	46903
4	190	37997
5	200	33164
6	202	28719
7	204	25327
8	207	22892
9	213	21102
10	215	19401
11	218	17980
12	220	16755
13	223	15720
14	230	15109
15	236	14521
16	240	13878
17	245	13367
18	247	12775
19	252	12380
20	256	11959
21	259	11526
22	261	11106
23	263	10728
24	268	10467
25	272	10200
26	275	9921
27	279	9714
28	283	9500
29	286	9247
30	289	9052
31	292	8850
32	295	8644
33	298	8479
34	301	8305
35	303	8135
36	306	7964
37	309	7832
38	314	7737
39	318	7637
40	319	7480
41	321	7337
42	323	7197
43	325	7064
44	326	6932
45	328	6815
46	330	6695
47	331	6580
48	333	6468
49	334	6364
50	336	6262
51	338	6164
52	339	6066
53	341	5984
54	343	5900
55	345	5821
56	346	5739
57	348	5663
58	350	5590
59	354	5553
60	356	5494
61	360	5448
62	363	5403
63	365	5349
64	368	5295
65	369	5234
66	371	5177
67	374	5135
68	376	5085
69	378	5032
70	380	4980
71	382	4929
72	384	4879
73	386	4836
74	390	4816
75	393	4780
76	396	4749
77	399	4719
78	401	4683
79	403	4644
80	405	4602
81	407	4565
82	408	4515
83	410	4479
84	412	4443
85	414	4405
86	416	4369
87	417	4331
88	419	4295
89	421	4258
90	424	4243
91	426	4210
92	429	4184
93	430	4153
94	432	4122
95	435	4096
96	436	4065
97	438	4040
98	441	4013
99	443	3987
100	445	3962
101	447	3938
102	450	3922
103	452	3898
104	454	3877
105	456	3850
106	458	3825
107	459	3799
108	462	3778
109	464	3759
110	468	3749
111	471	3742
112	473	3718
113	475	3693
114	476	3670
115	478	3646
116	479	3621
117	481	3598
118	483	3576
119	484	3556
120	486	3535
121	488	3513
122	490	3494
123	492	3481
124	495	3465
125	497	3450
126	498	3429
127	500	3412
128	502	3396
129	504	3378
130	506	3361
131	508	3345
132	511	3332
133	513	3318
134	515	3304
135	518	3291
136	520	3278
137	522	3264
138	524	3249
139	526	3237
140	529	3227
141	530	3207
142	532	3193
143	534	3178
144	536	3163
145	538	3148
146	539	3132
147	541	3117
148	543	3102
149	544	3088
150	546	3072
151	548	3060
152	551	3050
153	553	3042
154	555	3029
155	557	3017
156	559	3003
157	561	2990
158	563	2981
159	565	2970
160	567	2955
161	569	2945
162	571	2933
163	573	2923
164	575	2911
165	576	2898
166	579	2888
167	581	2879
168	583	2869
169	586	2861
170	587	2849
171	589	2836
172	591	2827
173	593	2816
174	596	2809
175	597	2798
176	599	2787
177	601	2775
178	602	2764
179	604	2753
180	606	2743
181	608	2733
182	610	2726
183	613	2718
184	617	2720
185	620	2716
186	625	2720
187	629	2718
188	631	2709
189	633	2700
190	635	2692
191	637	2684
192	639	2675
193	642	2668
194	644	2662
195	647	2656
196	650	2653
197	652	2644
198	655	2637
199	657	2628
200	658	2619
201	662	2615
202	665	2610
203	666	2602
204	668	2593
205	670	2584
206	672	2576
207	675	2572
208	678	2567
209	681	2564
210	683	2556
211	685	2547
212	687	2540
213	691	2540
214	695	2538
215	697	2533
216	699	2525
217	701	2517
218	703	2509
219	705	2500
220	707	2493
221	709	2485
222	710	2475
223	712	2466
224	713	2458
225	715	2451
226	718	2448
227	723	2448
228	728	2452
229	730	2446
230	733	2442
231	743	2459
232	745	2454
233	748	2451
234	750	2444
235	754	2443
236	756	2436
237	759	2431
238	762	2427
239	764	2420
240	769	2422
241	771	2417
242	775	2416
243	777	2409
244	782	2411
245	784	2405
246	789	2406
247	791	2401
248	793	2394
249	796	2388
250	798	2384
251	801	2378
252	802	2370
253	807	2370
254	809	2363
255	811	2358
256	814	2355
257	817	2350
258	819	2346
259	822	2339
260	825	2337
261	828	2333
262	831	2331
263	834	2327
264	839	2329
265	842	2324
266	847	2326
267	851	2325
268	854	2322
269	859	2323
270	861	2316
271	866	2320
272	872	2324
273	875	2320
274	880	2321
275	883	2316
276	888	2318
277	892	2317
278	895	2314
279	897	2309
280	900	2303
281	903	2301
282	906	2296
283	909	2292
284	911	2287
285	914	2282
286	919	2283
287	921	2277
288	923	2271
289	925	2265
290	927	2259
291	929	2254
292	931	2248
293	933	2242
294	936	2237
295	938	2232
296	942	2230
297	944	2225
298	949	2226
299	953	2224
300	954	2217
301	956	2210
302	958	2205
303	960	2198
304	962	2192
305	965	2189
306	967	2184
307	969	2178
308	971	2173
309	973	2166
310	975	2160
311	978	2158
312	981	2153
313	984	2149
314	985	2143
315	987	2137
316	989	2131
317	992	2128
318	995	2124
319	997	2119
320	999	2113
321	1001	2109
322	1003	2103
323	1006	2100
324	1008	2095
325	1012	2093
326	1014	2088
327	1016	2082
